PLAYER,TEAM,Conf.,AS Prob.,Model Prediction
Jarrett Allen,BKN,East,0.08606595546007156,No
Dwight Howard,LAL,West,0.08588030934333801,No
Clint Capela,ATL,East,0.0825599953532219,No
DeAndre Jordan,BKN,East,0.06773138791322708,No
Marcus Morris Sr.,LAC,West,0.060062751173973083,No
Mason Plumlee,DEN,West,0.059478577226400375,No
Ricky Rubio,PHX,West,0.05627743527293205,No
Enes Kanter,BOS,East,0.05507266893982887,No
Brandon Clarke,MEM,West,0.05169915780425072,No
Richaun Holmes,SAC,West,0.040984030812978745,No
Norman Powell,TOR,East,0.03904309496283531,No
Devonte' Graham,CHA,East,0.037895139306783676,No
George Hill,MIL,East,0.03610186651349068,No
John Collins,ATL,East,0.034935418516397476,No
Delon Wright,DAL,West,0.02857343479990959,No
JaVale McGee,LAL,West,0.027179108932614326,No
Ersan Ilyasova,MIL,East,0.024259274825453758,No
Terence Davis,TOR,East,0.020148100331425667,No
Goran Dragic,MIA,East,0.018215730786323547,No
Ivica Zubac,LAC,West,0.01815342903137207,No
Nerlens Noel,OKC,West,0.015767132863402367,No
Donte DiVincenzo,MIL,East,0.014724532142281532,No
Dejounte Murray,SAS,West,0.012807817198336124,No
Gorgui Dieng,MEM,West,0.01242861244827509,No
Rajon Rondo,LAL,West,0.012083427980542183,No
Kyle Kuzma,LAL,West,0.011103845201432705,No
Rudy Gay,SAS,West,0.01106203068047762,No
Chris Boucher,TOR,East,0.010881132446229458,No
Josh Richardson,PHI,East,0.010427432134747505,No
Christian Wood,DET,East,0.010419935919344425,No
Derrick Favors,NOP,West,0.009923330508172512,No
Rondae Hollis-Jefferson,TOR,East,0.00927630066871643,No
Jordan Clarkson,UTA,West,0.008708707988262177,No
Pat Connaughton,MIL,East,0.008611536584794521,No
Danny Green,LAL,West,0.008611536584794521,No
Evan Fournier,ORL,East,0.00859253853559494,No
Marcus Smart,BOS,East,0.00859062559902668,No
T.J. McConnell,IND,East,0.008365713059902191,No
Kristaps Porzingis,DAL,West,0.008327697403728962,No
Buddy Hield,SAC,West,0.008250744082033634,No
Patrick Beverley,LAC,West,0.008078030310571194,No
Michael Porter Jr.,DEN,West,0.007763036992400885,No
Kendrick Nunn,MIA,East,0.007019625045359135,No
D.J. Augustin,ORL,East,0.006734152790158987,No
Thomas Bryant,WAS,East,0.006233990658074617,No
Wesley Matthews,MIL,East,0.005851840600371361,No
Alex Caruso,LAL,West,0.005851840600371361,No
Tyler Herro,MIA,East,0.0055619776248931885,No
Paul Millsap,DEN,West,0.005549001041799784,No
Joe Ingles,UTA,West,0.005007617641240358,No
Marc Gasol,TOR,East,0.004822493996471167,No
De'Anthony Melton,MEM,West,0.004664869979023933,No
Cody Zeller,CHA,East,0.004414042923599482,No
Daniel Theis,BOS,East,0.004400315694510937,No
Jordan McRae,DEN,West,0.004301491193473339,No
Justise Winslow,MEM,West,0.004238386172801256,No
T.J. Warren,IND,East,0.004162459168583155,No
Robin Lopez,MIL,East,0.0040854476392269135,No
Tony Bradley,UTA,West,0.004053167533129454,No
OG Anunoby,TOR,East,0.0039938027039170265,No
Mo Bamba,ORL,East,0.003862745128571987,No
Royce O'Neale,UTA,West,0.003808039939031005,No
Kelly Oubre Jr.,PHX,West,0.0037475847639143467,No
Tristan Thompson,CLE,East,0.0036936586257070303,No
Markieff Morris,LAL,West,0.0036605927161872387,No
Aaron Gordon,ORL,East,0.0034690466709434986,No
Jonathan Isaac,ORL,East,0.003426064271479845,No
Jaren Jackson Jr.,MEM,West,0.003385283751413226,No
Willie Cauley-Stein,DAL,West,0.0032953028567135334,No
Kentavious Caldwell-Pope,LAL,West,0.0032845481764525175,No
Wendell Carter Jr.,CHI,East,0.0032185562886297703,No
Kyle Korver,MIL,East,0.003071708371862769,No
Jae Crowder,MIA,East,0.0030634431168437004,No
Myles Turner,IND,East,0.0030283171217888594,No
Noah Vonleh,DEN,West,0.002856699749827385,No
Marquese Chriss,GSW,West,0.002846262650564313,No
Blake Griffin,DET,East,0.0028227241709828377,No
Robert Williams III,BOS,East,0.002709550317376852,No
Markelle Fultz,ORL,East,0.002649364061653614,No
Bruce Brown,DET,East,0.0026185838505625725,No
Mitchell Robinson,NYK,East,0.002607998438179493,No
Jeff Teague,ATL,East,0.0023944948334246874,No
Alex Len,SAC,West,0.002323505003005266,No
Boban Marjanovic,DAL,West,0.002322576707229018,No
Larry Nance Jr.,CLE,East,0.002269273390993476,No
Jeremy Lamb,IND,East,0.0022643909323960543,No
Duncan Robinson,MIA,East,0.0022315653041005135,No
Mike Conley,UTA,West,0.0020478686783462763,No
J.J. Barea,DAL,West,0.0020397857297211885,No
Moritz Wagner,WAS,East,0.0020369067788124084,No
Robert Covington,HOU,West,0.002004165668040514,No
Lonzo Ball,NOP,West,0.0019905895460397005,No
Glenn Robinson III,PHI,East,0.001988692907616496,No
Gary Harris,DEN,West,0.001891770283691585,No
Marvin Williams,MIL,East,0.0018386556766927242,No
Jakob Poeltl,SAS,West,0.001813594251871109,No
Joe Harris,BKN,East,0.001775767537765205,No
Dwight Powell,DAL,West,0.0017556912498548627,No
Tim Hardaway Jr.,DAL,West,0.0017296175938099623,No
Terry Rozier,CHA,East,0.0016824763733893633,No
Carmelo Anthony,POR,West,0.0016287000617012382,No
Dorian Finney-Smith,DAL,West,0.0016209471505135298,No
Monte Morris,DEN,West,0.0016120756044983864,No
Trey Burke,PHI,East,0.0016045895172283053,No
Jalen Brunson,DAL,West,0.001589215942658484,No
Garrett Temple,BKN,East,0.0015527938958257437,No
Emmanuel Mudiay,UTA,West,0.0015071399975568056,No
Sterling Brown,MIL,East,0.0015005412278696895,No
John Henson,DET,East,0.0014865021221339703,No
Collin Sexton,CLE,East,0.0014720093458890915,No
Brad Wanamaker,BOS,East,0.0014286913210526109,No
Meyers Leonard,MIA,East,0.0013494606828317046,No
Isaiah Hartenstein,HOU,West,0.001306507270783186,No
Caris LeVert,BKN,East,0.0012655925238505006,No
Justin Holiday,IND,East,0.0012531672837212682,No
Nemanja Bjelica,SAC,West,0.0012240991927683353,No
Troy Daniels,LAL,West,0.0012133815325796604,No
P.J. Washington,CHA,East,0.0012112712720409036,No
Maxi Kleber,DAL,West,0.0011753382859751582,No
Kelly Olynyk,MIA,East,0.0011566415196284652,No
Lauri Markkanen,CHI,East,0.001141046523116529,No
Solomon Hill,MIA,East,0.0011362798977643251,No
Avery Bradley,LAL,West,0.001101524569094181,No
Draymond Green,GSW,West,0.0010885160882025957,No
Mfiondu Kabengele,LAC,West,0.0010722220176830888,No
P.J. Tucker,HOU,West,0.0010676296660676599,No
Isaiah Thomas,WAS,East,0.001008983002975583,No
Quinn Cook,LAL,West,0.0010000283364206553,No
Derrick White,SAS,West,0.0009920274605974555,No
JaMychal Green,LAC,West,0.0009827426401898265,No
Matisse Thybulle,PHI,East,0.000976680195890367,No
Jerami Grant,DEN,West,0.0009727278957143426,No
Aaron Holiday,IND,East,0.0009648808045312762,No
RJ Barrett,NYK,East,0.0009434479288756847,No
Taurean Prince,BKN,East,0.0009061270393431187,No
Kyle O'Quinn,PHI,East,0.0009054064867086709,No
Grant Williams,BOS,East,0.0008770778658799827,No
Terrence Ross,ORL,East,0.0008687993395142257,No
Johnathan Williams,WAS,East,0.0008559923735447228,No
Dillon Brooks,MEM,West,0.0008363237138837576,No
Kyle Anderson,MEM,West,0.0008091944037005305,No
Luke Kennard,DET,East,0.0008069613249972463,No
Mike Scott,PHI,East,0.0007973972242325544,No
Davis Bertans,WAS,East,0.0007775179110467434,No
Danuel House Jr.,HOU,West,0.0007708758930675685,No
Willy Hernangomez,CHA,East,0.0007620291435159743,No
Semi Ojeleye,BOS,East,0.0007565637351945043,No
Jared Dudley,LAL,West,0.0007205471629276872,No
D.J. Wilson,MIL,East,0.0007205471629276872,No
Thanasis Antetokounmpo,MIL,East,0.0007136042113415897,No
Chimezie Metu,SAS,West,0.0006959864986129105,No
Kevin Huerter,ATL,East,0.0006940749008208513,No
Jabari Parker,SAC,West,0.0006937317084521055,No
Bobby Portis,NYK,East,0.0006923499749973416,No
Aron Baynes,PHX,West,0.0006719354423694313,No
Tomas Satoransky,CHI,East,0.0006666562403552234,No
Miles Bridges,CHA,East,0.0006634965538978577,No
Ish Smith,WAS,East,0.0006533399573527277,No
Troy Brown Jr.,WAS,East,0.0006530153332278132,No
Coby White,CHI,East,0.0006496632122434676,No
Thaddeus Young,CHI,East,0.0006380939739756286,No
Seth Curry,DAL,West,0.0006263661198318005,No
Darius Bazley,OKC,West,0.0006183682708069682,No
Derrick Jones Jr.,MIA,East,0.0006133806891739368,No
Furkan Korkmaz,PHI,East,0.0005703801289200783,No
Patrick Patterson,LAC,West,0.000560066313482821,No
Patrick McCaw,TOR,East,0.0005584783502854407,No
Kris Dunn,CHI,East,0.0005518147372640669,No
Harrison Barnes,SAC,West,0.0005460944958031178,No
Elfrid Payton,NYK,East,0.0005252448027022183,No
Damion Lee,GSW,West,0.0005211539682932198,No
Ante Zizic,CLE,East,0.0005162425222806633,No
Doug McDermott,IND,East,0.0004923283122479916,No
Georges Niang,UTA,West,0.0004898036713711917,No
Ian Mahinmi,WAS,East,0.0004886194365099072,No
Landry Shamet,LAC,West,0.00048595608677715063,No
Raul Neto,PHI,East,0.0004858298634644598,No
Austin Rivers,HOU,West,0.00048413925105705857,No
Javonte Green,BOS,East,0.00046428406494669616,No
Kenrich Williams,NOP,West,0.00046102036139927804,No
Josh Hart,NOP,West,0.0004450261767487973,No
JJ Redick,NOP,West,0.0004448134859558195,No
Patty Mills,SAS,West,0.0004444773949217051,No
Eric Gordon,HOU,West,0.0004317952843848616,No
Jarrett Culver,MIN,West,0.0004305763868615031,No
Josh Okogie,MIN,West,0.0004305763868615031,No
Drew Eubanks,SAS,West,0.0004227040917612612,No
Ryan Arcidiacono,CHI,East,0.0004213396750856191,No
Mikal Bridges,PHX,West,0.00042095163371413946,No
Johnathan Motley,LAC,West,0.00041560051613487303,No
Ben McLemore,HOU,West,0.0004069843562319875,No
Omari Spellman,MIN,West,0.00040512322448194027,No
Gary Payton II,WAS,East,0.0004049203416798264,No
Jahlil Okafor,NOP,West,0.0004024629888590425,No
Marvin Bagley III,SAC,West,0.0003989618562627584,No
Jaxson Hayes,NOP,West,0.0003977543965447694,No
Chris Silva,MIA,East,0.00039291020948439837,No
Cheick Diallo,PHX,West,0.00038306129863485694,No
Ed Davis,UTA,West,0.00037133711157366633,No
Al-Farouq Aminu,ORL,East,0.0003699892258737236,No
James Ennis III,ORL,East,0.000368688371963799,No
Nicolas Batum,CHA,East,0.00036726484540849924,No
Bismack Biyombo,CHA,East,0.00035965690040029585,No
Justin Jackson,DAL,West,0.00035000304342247546,No
Bogdan Bogdanovic,SAC,West,0.0003437652194406837,No
Rui Hachimura,WAS,East,0.00034237225190736353,No
Goga Bitadze,IND,East,0.0003418017004150897,No
Terance Mann,LAC,West,0.0003350596525706351,No
Marco Belinelli,SAS,West,0.0003333400818519294,No
Tony Snell,DET,East,0.0003333400818519294,No
Torrey Craig,DEN,West,0.0003289810847491026,No
Tyus Jones,MEM,West,0.0003201117506250739,No
Norvel Pelle,PHI,East,0.00031029825913719833,No
Thon Maker,DET,East,0.00030813002376817167,No
Denzel Valentine,CHI,East,0.0003077700675930828,No
Chris Chiozza,BKN,East,0.00030735923792235553,No
Keita Bates-Diop,DEN,West,0.0003030155785381794,No
Michael Carter-Williams,ORL,East,0.0002990173816215247,No
Elie Okobo,PHX,West,0.0002971893409267068,No
Wilson Chandler,BKN,East,0.0002949751215055585,No
Tyler Cook,CLE,East,0.00029370447737164795,No
Maurice Harkless,NYK,East,0.0002881206455640495,No
Trey Lyles,SAS,West,0.000286882248474285,No
Frank Kaminsky,PHX,West,0.00028492105775512755,No
Frank Ntilikina,NYK,East,0.0002836323110386729,No
Malik Monk,CHA,East,0.00028323399601504207,No
Romeo Langford,BOS,East,0.00028021607431583107,No
Svi Mykhailiuk,DET,East,0.0002779045607894659,No
Rodney McGruder,LAC,West,0.0002769702987279743,No
Kent Bazemore,SAC,West,0.00026780919870361686,No
De'Andre Hunter,ATL,East,0.00026770352269522846,No
Dario Saric,PHX,West,0.00026681090821512043,No
Otto Porter Jr.,CHI,East,0.00026550432085059583,No
Darius Garland,CLE,East,0.00026437241467647254,No
Trevor Ariza,POR,West,0.00026308902306482196,No
Vlatko Cancar,DEN,West,0.00025785467005334795,No
Rayjon Tucker,UTA,West,0.00025785467005334795,No
Bryn Forbes,SAS,West,0.00025085985544137657,No
Isaac Bonga,WAS,East,0.0002482360287103802,No
Carsen Edwards,BOS,East,0.0002467962331138551,No
Shabazz Napier,WAS,East,0.00024649358238093555,No
Vincent Poirier,BOS,East,0.00024441684945486486,No
Nickeil Alexander-Walker,NOP,West,0.0002421940298518166,No
Jerome Robinson,WAS,East,0.00024198215396609157,No
Eric Paschall,GSW,West,0.0002407307765679434,No
Nigel Williams-Goss,UTA,West,0.0002338723134016618,No
Malcolm Miller,TOR,East,0.0002338723134016618,No
Juwan Morgan,UTA,West,0.0002338723134016618,No
Stanley Johnson,TOR,East,0.0002338723134016618,No
Oshae Brissett,TOR,East,0.0002338723134016618,No
Matt Thomas,TOR,East,0.0002338723134016618,No
Khem Birch,ORL,East,0.00022850667301099747,No
Cam Reddish,ATL,East,0.000227872675168328,No
E'Twaun Moore,NOP,West,0.00022553071903530508,No
Edmond Sumner,IND,East,0.0002237873268313706,No
Terrance Ferguson,OKC,West,0.0002205211785621941,No
Tim Frazier,DET,East,0.00021673117589671165,No
Taj Gibson,NYK,East,0.00021407197345979512,No
Michael Kidd-Gilchrist,DAL,West,0.00021123240003362298,No
Matthew Dellavedova,CLE,East,0.00020890460291411728,No
Anfernee Simons,POR,West,0.00020732232951559126,No
Langston Galloway,DET,East,0.00020732232951559126,No
Cedi Osman,CLE,East,0.00020700074674095958,No
DeAndre' Bembry,ATL,East,0.00020525902800727636,No
Cameron Johnson,PHX,West,0.0002051962073892355,No
Shake Milton,PHI,East,0.00019959986093454063,No
Rodney Hood,POR,West,0.00019784190226346254,No
Skal Labissiere,ATL,East,0.00019781815353780985,No
Dwayne Bacon,CHA,East,0.00019669192261062562,No
Luguentz Dort,OKC,West,0.00019262068963143975,No
Hamidou Diallo,OKC,West,0.0001921204966492951,No
Cory Joseph,SAC,West,0.0001903091324493289,No
Lonnie Walker IV,SAS,West,0.0001862401404650882,No
Courtney Lee,DAL,West,0.00018424479640088975,No
Kevin Knox II,NYK,East,0.00018182714120484889,No
Frank Jackson,NOP,West,0.00017447028949391097,No
Theo Pinson,BKN,East,0.00017369777197018266,No
Anzejs Pasecniks,WAS,East,0.00016770213551353663,No
Ryan Broekhoff,DAL,West,0.00016710770432837307,No
Wes Iwundu,ORL,East,0.0001638557732803747,No
Vince Carter,ATL,East,0.00015414525114465505,No
JaKarr Sampson,IND,East,0.00015030891518108547,No
Bruno Caboclo,HOU,West,0.00015030891518108547,No
David Nwaba,BKN,East,0.0001501781225670129,No
Mario Hezonja,POR,West,0.00014993287913966924,No
Jake Layman,MIN,West,0.00014908236335031688,No
Abdel Nader,OKC,West,0.00014815809845458716,No
Mike Muscala,OKC,West,0.00014815809845458716,No
Sekou Doumbouya,DET,East,0.00014574300439562649,No
Chandler Hutchison,CHI,East,0.00014574300439562649,No
Ky Bowman,GSW,West,0.00014486403961200267,No
Thabo Sefolosha,HOU,West,0.00014378099876921624,No
Jeff Green,HOU,West,0.00014378099876921624,No
Chris Clemons,HOU,West,0.00014378099876921624,No
Naz Reid,MIN,West,0.0001437515311408788,No
Alize Johnson,IND,East,0.00014239465235732496,No
Tyson Chandler,HOU,West,0.00014100942644290626,No
Nicolo Melli,NOP,West,0.0001385630457662046,No
Kevin Porter Jr.,CLE,East,0.00013820901222061366,No
Marko Guduric,MEM,West,0.0001374126732116565,No
Grayson Allen,MEM,West,0.0001374126732116565,No
Brandon Knight,DET,East,0.00013608785229735076,No
Nicolas Claxton,BKN,East,0.0001359170419164002,No
DeMarre Carroll,HOU,West,0.00012914964463561773,No
TJ Leaf,IND,East,0.00012914964463561773,No
Damian Jones,ATL,East,0.00012671988224610686,No
Kadeem Allen,NYK,East,0.0001262785226572305,No
Rodions Kurucs,BKN,East,0.0001251249632332474,No
Luke Kornet,CHI,East,0.00012507734936662018,No
Dewayne Dedmon,ATL,East,0.0001196791126858443,No
Deonte Burton,OKC,West,0.00011720744805643335,No
Kelan Martin,MIN,West,0.00011675813584588468,No
Tyler Johnson,PHX,West,0.00011675400310195982,No
Jevon Carter,PHX,West,0.00011675400310195982,No
Ty Jerome,PHX,West,0.00011562833242351189,No
Jordan McLaughlin,MIN,West,0.00011522373097250238,No
Dennis Smith Jr.,NYK,East,0.00011522373097250238,No
Jordan Bell,MEM,West,0.00011441243987064809,No
Daniel Gafford,CHI,East,0.00011240599997108802,No
Timothe Luwawu-Cabarrot,BKN,East,0.00011239186278544366,No
Gary Clark,ORL,East,0.00011036863725166768,No
Anthony Tolliver,SAC,West,0.00010976995690725744,No
Dzanan Musa,BKN,East,0.00010947381815640256,No
Evan Turner,MIN,West,0.00010566831042524427,No
Melvin Frazier Jr.,ORL,East,0.00010527997801546007,No
Josh Magette,ORL,East,0.00010527997801546007,No
Amile Jefferson,ORL,East,0.00010527997801546007,No
Nassir Little,POR,West,0.00010376996942795813,No
Damyean Dotson,NYK,East,0.0001037328620441258,No
Alen Smailagic,GSW,West,0.00010298607230652124,No
Cody Martin,CHA,East,0.0001017467729980126,No
Shaquille Harrison,CHI,East,9.898551797959954e-05,No
Gary Trent Jr.,POR,West,9.898551797959954e-05,No
Derrick Walton Jr.,DET,East,9.833327203523368e-05,No
Wenyen Gabriel,POR,West,9.803105058381334e-05,No
Moses Brown,POR,West,9.803105058381334e-05,No
Caleb Swanigan,POR,West,9.803105058381334e-05,No
CJ Miles,WAS,East,9.581007179804146e-05,No
Yogi Ferrell,SAC,West,9.424361633136868e-05,No
James Johnson,MIN,West,9.20313541428186e-05,No
Jaylen Hoard,POR,West,8.891220932127908e-05,No
Iman Shumpert,BKN,East,8.891220932127908e-05,No
Brandon Goodwin,ATL,East,8.465283463010564e-05,No
Reggie Bullock,NYK,East,8.465283463010564e-05,No
Bruno Fernando,ATL,East,8.454264025203884e-05,No
Jordan Poole,GSW,West,8.419564255746081e-05,No
Admiral Schofield,WAS,East,8.410352165810764e-05,No
Allen Crabbe,MIN,West,8.212965622078627e-05,No
Malik Beasley,MIN,West,7.677563553443179e-05,No
Justin Robinson,WAS,East,7.55445726099424e-05,No
Garrison Mathews,WAS,East,7.55445726099424e-05,No
Alfonzo McKinnie,CLE,East,7.485065725632012e-05,No
Allonzo Trier,NYK,East,7.377156725851819e-05,No
Harry Giles III,SAC,West,7.377156725851819e-05,No
Justin James,SAC,West,7.116929918993264e-05,No
Dean Wade,CLE,East,7.048309635138139e-05,No
Juancho Hernangomez,MIN,West,6.788784230593592e-05,No
Dante Exum,CLE,East,6.744049460394308e-05,No
Wayne Ellington,NYK,East,6.744049460394308e-05,No
Jacob Evans,MIN,West,6.744049460394308e-05,No
Ignas Brazdeikis,NYK,East,6.723327533109114e-05,No
Kevon Looney,GSW,West,6.723327533109114e-05,No
Treveon Graham,ATL,East,6.275458872551098e-05,No
Tyrone Wallace,ATL,East,6.097901496104896e-05,No
Jaylen Nowell,MIN,West,6.097901496104896e-05,No
